Label,Message
spam,Insurance claim denied. Appeal by clicking here: http://705.updatelink.co
ham,Lunch is on me today if you’re free.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://115.cryptoearnings.biz
spam,Your tax return was flagged for fraud. Respond here: http://231.auth-fix.com
spam,You're the lucky winner of our sweepstakes. Confirm details: http://936.gov-secure.net
ham,Sending the final report to the SOC team now.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Sending the final report to the SOC team now.
spam,Receipt for your $$2542.10 purchase is attached. Open here: http://716.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
ham,Can you help troubleshoot the VPN connection later?
ham,Can you help troubleshoot the VPN connection later?
ham,Can you help troubleshoot the VPN connection later?
ham,Lunch is on me today if you’re free.
spam,Reset your password now or lose access to your account: http://763.claim-today.org
ham,Lunch is on me today if you’re free.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://950.cryptoearnings.biz
ham,"Hey, let's grab coffee after the team sync?"
ham,Sending the final report to the SOC team now.
spam,Your computer is infected! Call Microsoft Support now: http://296.cryptoearnings.biz
spam,Your computer is infected! Call Microsoft Support now: http://644.cryptoearnings.biz
spam,Insurance claim denied. Appeal by clicking here: http://878.updatelink.co
spam,Suspicious SIM change detected. Review your account: http://154.claim-today.org
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://263.auth-fix.com
spam,Your computer is infected! Call Microsoft Support now: http://731.auth-fix.com
spam,Suspicious SIM change detected. Review your account: http://170.updatelink.co
spam,Deposit 0.01 BTC and get 10x back instantly: http://86.claim-today.org
ham,Thanks for reviewing the new device policy doc.
ham,Lunch is on me today if you’re free.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://555.claim-today.org
spam,Critical security update required. Click to download patch: http://888.claim-today.org
spam,You're the lucky winner of our sweepstakes. Confirm details: http://237.updatelink.co
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://768.cryptoearnings.biz
ham,Can you help troubleshoot the VPN connection later?
ham,Thanks for reviewing the new device policy doc.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://570.gov-secure.net
spam,Receipt for your $$2780.41 purchase is attached. Open here: http://678.auth-fix.com
spam,Suspicious SIM change detected. Review your account: http://786.claim-today.org
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Your mobile plan will expire soon. Renew now: http://199.auth-fix.com
spam,Earn free Bitcoin now. Only a few spots left: http://839.claim-today.org
ham,Thanks for reviewing the new device policy doc.
spam,Your tax return was flagged for fraud. Respond here: http://391.updatelink.co
spam,Suspicious withdrawal of $2822.38 detected. Verify immediately: http://495.gov-secure.net
spam,Suspicious withdrawal of $4645.77 detected. Verify immediately: http://763.auth-fix.com
spam,Reset your password now or lose access to your account: http://451.claim-today.org
spam,Your computer is infected! Call Microsoft Support now: http://775.claim-today.org
ham,I'll send the logs over after lunch.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Have you seen the updated incident response flow?
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://448.updatelink.co
spam,Invoice #44312 needs payment today. See details: http://546.gov-secure.net
ham,Can you help troubleshoot the VPN connection later?
spam,Earn free Bitcoin now. Only a few spots left: http://987.gov-secure.net
spam,Order #673637 cannot be delivered. Reschedule now: http://651.updatelink.co
ham,Have you seen the updated incident response flow?
spam,Deposit 0.01 BTC and get 10x back instantly: http://72.updatelink.co
ham,I'm uploading the Q1 security audit report now.
spam,Reset your password now or lose access to your account: http://994.cryptoearnings.biz
ham,I'm uploading the Q1 security audit report now.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://683.updatelink.co
spam,Invoice #44312 needs payment today. See details: http://551.auth-fix.com
spam,Receipt for your $$4104.76 purchase is attached. Open here: http://752.auth-fix.com
spam,Order #331234 cannot be delivered. Reschedule now: http://174.updatelink.co
ham,Sending the final report to the SOC team now.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Have you seen the updated incident response flow?
spam,Suspicious withdrawal of $967.79 detected. Verify immediately: http://156.claim-today.org
spam,Critical security update required. Click to download patch: http://953.cryptoearnings.biz
spam,Receipt for your $$4291.44 purchase is attached. Open here: http://730.updatelink.co
spam,Your medical test results are in. View securely: http://973.cryptoearnings.biz
spam,Insurance claim denied. Appeal by clicking here: http://479.cryptoearnings.biz
ham,I'm uploading the Q1 security audit report now.
spam,Suspicious SIM change detected. Review your account: http://472.cryptoearnings.biz
ham,I'll send the logs over after lunch.
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://681.claim-today.org"
ham,Meeting's moved to Friday — updating the calendar.
spam,Insurance claim denied. Appeal by clicking here: http://602.claim-today.org
spam,Critical security update required. Click to download patch: http://100.cryptoearnings.biz
spam,Suspicious withdrawal of $4520.72 detected. Verify immediately: http://383.gov-secure.net
ham,Lunch is on me today if you’re free.
spam,Critical security update required. Click to download patch: http://395.auth-fix.com
spam,Earn free Bitcoin now. Only a few spots left: http://970.cryptoearnings.biz
ham,Sending the final report to the SOC team now.
spam,Earn free Bitcoin now. Only a few spots left: http://100.auth-fix.com
spam,You're the lucky winner of our sweepstakes. Confirm details: http://413.cryptoearnings.biz
ham,Meeting's moved to Friday — updating the calendar.
spam,Suspicious SIM change detected. Review your account: http://189.cryptoearnings.biz
ham,"Hey, let's grab coffee after the team sync?"
spam,Your computer is infected! Call Microsoft Support now: http://758.gov-secure.net
ham,Thanks for reviewing the new device policy doc.
ham,I'm uploading the Q1 security audit report now.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://824.gov-secure.net
spam,IRS notice: You owe $756.52 in back taxes. Pay now to avoid legal action: http://459.gov-secure.net
ham,Can you help troubleshoot the VPN connection later?
ham,"Hey, let's grab coffee after the team sync?"
ham,Sending the final report to the SOC team now.
spam,Insurance claim denied. Appeal by clicking here: http://192.claim-today.org
spam,Suspicious withdrawal of $4343.84 detected. Verify immediately: http://608.gov-secure.net
ham,I'll send the logs over after lunch.
spam,IRS notice: You owe $4296.94 in back taxes. Pay now to avoid legal action: http://500.updatelink.co
ham,Thanks for reviewing the new device policy doc.
ham,I'll send the logs over after lunch.
spam,Critical security update required. Click to download patch: http://12.claim-today.org
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://851.cryptoearnings.biz
ham,Lunch is on me today if you’re free.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://557.gov-secure.net
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://315.claim-today.org
ham,I'm uploading the Q1 security audit report now.
spam,Suspicious withdrawal of $1160.51 detected. Verify immediately: http://115.auth-fix.com
ham,"Hey, let's grab coffee after the team sync?"
spam,Deposit 0.01 BTC and get 10x back instantly: http://639.claim-today.org
ham,I'll send the logs over after lunch.
ham,Meeting's moved to Friday — updating the calendar.
ham,"Hey, let's grab coffee after the team sync?"
spam,Receipt for your $$2034.47 purchase is attached. Open here: http://635.gov-secure.net
ham,Meeting's moved to Friday — updating the calendar.
spam,Order #444234 cannot be delivered. Reschedule now: http://459.gov-secure.net
spam,Critical security update required. Click to download patch: http://68.cryptoearnings.biz
spam,New sign-in from unknown device. Confirm identity: http://589.updatelink.co
spam,New sign-in from unknown device. Confirm identity: http://734.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
ham,"Hey, let's grab coffee after the team sync?"
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Deposit 0.01 BTC and get 10x back instantly: http://185.gov-secure.net
ham,Can you help troubleshoot the VPN connection later?
spam,Invoice #44312 needs payment today. See details: http://972.auth-fix.com
spam,New sign-in from unknown device. Confirm identity: http://324.auth-fix.com
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Thanks for reviewing the new device policy doc.
ham,Can you help troubleshoot the VPN connection later?
ham,Meeting's moved to Friday — updating the calendar.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://770.updatelink.co
spam,Order #175638 cannot be delivered. Reschedule now: http://606.claim-today.org
ham,"Hey, let's grab coffee after the team sync?"
ham,I'm uploading the Q1 security audit report now.
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://957.cryptoearnings.biz"
spam,New sign-in from unknown device. Confirm identity: http://368.claim-today.org
ham,I'm uploading the Q1 security audit report now.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://927.auth-fix.com
ham,Lunch is on me today if you’re free.
ham,Have you seen the updated incident response flow?
spam,Receipt for your $$1102.99 purchase is attached. Open here: http://139.claim-today.org
ham,Lunch is on me today if you’re free.
spam,Your mobile plan will expire soon. Renew now: http://545.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
spam,Your tax return was flagged for fraud. Respond here: http://710.cryptoearnings.biz
ham,Meeting's moved to Friday — updating the calendar.
spam,Your tax return was flagged for fraud. Respond here: http://591.claim-today.org
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://675.cryptoearnings.biz
spam,Your tax return was flagged for fraud. Respond here: http://642.auth-fix.com
ham,I'll send the logs over after lunch.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,I'm uploading the Q1 security audit report now.
spam,Your mobile plan will expire soon. Renew now: http://738.claim-today.org
ham,Meeting's moved to Friday — updating the calendar.
ham,Thanks for reviewing the new device policy doc.
ham,Can you help troubleshoot the VPN connection later?
ham,Don't forget the phishing awareness webinar on Thursday.
ham,"Hey, let's grab coffee after the team sync?"
ham,Can you help troubleshoot the VPN connection later?
spam,Earn free Bitcoin now. Only a few spots left: http://336.cryptoearnings.biz
spam,Order #667569 cannot be delivered. Reschedule now: http://896.updatelink.co
spam,Your tax return was flagged for fraud. Respond here: http://517.auth-fix.com
spam,IRS notice: You owe $2648.51 in back taxes. Pay now to avoid legal action: http://545.claim-today.org
spam,IRS notice: You owe $3763.23 in back taxes. Pay now to avoid legal action: http://342.updatelink.co
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://90.gov-secure.net"
ham,I'll send the logs over after lunch.
spam,Your computer is infected! Call Microsoft Support now: http://266.updatelink.co
spam,Suspicious SIM change detected. Review your account: http://949.gov-secure.net
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://632.gov-secure.net
spam,Order #639590 cannot be delivered. Reschedule now: http://234.cryptoearnings.biz
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://835.updatelink.co
ham,I'll send the logs over after lunch.
spam,Reset your password now or lose access to your account: http://824.updatelink.co
ham,Have you seen the updated incident response flow?
spam,Your mobile plan will expire soon. Renew now: http://578.updatelink.co
ham,Sending the final report to the SOC team now.
spam,Reset your password now or lose access to your account: http://494.auth-fix.com
ham,Meeting's moved to Friday — updating the calendar.
ham,I'm uploading the Q1 security audit report now.
spam,IRS notice: You owe $4021.78 in back taxes. Pay now to avoid legal action: http://46.updatelink.co
ham,"Hey, let's grab coffee after the team sync?"
ham,I'll send the logs over after lunch.
spam,Your computer is infected! Call Microsoft Support now: http://755.gov-secure.net
spam,Order #202118 cannot be delivered. Reschedule now: http://837.gov-secure.net
spam,Suspicious SIM change detected. Review your account: http://774.gov-secure.net
spam,Invoice #44312 needs payment today. See details: http://374.claim-today.org
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Critical security update required. Click to download patch: http://547.gov-secure.net
spam,Suspicious SIM change detected. Review your account: http://407.auth-fix.com
ham,Thanks for reviewing the new device policy doc.
spam,Suspicious SIM change detected. Review your account: http://749.claim-today.org
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://509.auth-fix.com"
spam,New sign-in from unknown device. Confirm identity: http://319.claim-today.org
ham,Have you seen the updated incident response flow?
ham,Have you seen the updated incident response flow?
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://721.claim-today.org"
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://898.claim-today.org"
spam,Suspicious SIM change detected. Review your account: http://543.claim-today.org
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Insurance claim denied. Appeal by clicking here: http://212.auth-fix.com
ham,Meeting's moved to Friday — updating the calendar.
spam,Deposit 0.01 BTC and get 10x back instantly: http://146.cryptoearnings.biz
spam,Deposit 0.01 BTC and get 10x back instantly: http://779.claim-today.org
spam,Suspicious withdrawal of $2089.05 detected. Verify immediately: http://144.claim-today.org
spam,Deposit 0.01 BTC and get 10x back instantly: http://701.claim-today.org
spam,Receipt for your $$2811.17 purchase is attached. Open here: http://632.updatelink.co
spam,Critical security update required. Click to download patch: http://891.auth-fix.com
spam,Your computer is infected! Call Microsoft Support now: http://82.gov-secure.net
ham,Lunch is on me today if you’re free.
spam,New sign-in from unknown device. Confirm identity: http://214.claim-today.org
ham,I'm uploading the Q1 security audit report now.
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://917.updatelink.co"
ham,Sending the final report to the SOC team now.
ham,Lunch is on me today if you’re free.
ham,I'm uploading the Q1 security audit report now.
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Your tax return was flagged for fraud. Respond here: http://256.auth-fix.com
ham,I'll send the logs over after lunch.
spam,Deposit 0.01 BTC and get 10x back instantly: http://524.gov-secure.net
ham,I'm uploading the Q1 security audit report now.
ham,I'm uploading the Q1 security audit report now.
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://921.cryptoearnings.biz
spam,Your computer is infected! Call Microsoft Support now: http://649.updatelink.co
ham,I'm uploading the Q1 security audit report now.
ham,Lunch is on me today if you’re free.
ham,"Hey, let's grab coffee after the team sync?"
ham,Can you help troubleshoot the VPN connection later?
spam,Your medical test results are in. View securely: http://65.claim-today.org
ham,Meeting's moved to Friday — updating the calendar.
ham,Have you seen the updated incident response flow?
ham,I'm uploading the Q1 security audit report now.
spam,Order #665681 cannot be delivered. Reschedule now: http://629.gov-secure.net
ham,Meeting's moved to Friday — updating the calendar.
spam,Order #465510 cannot be delivered. Reschedule now: http://699.auth-fix.com
spam,Your tax return was flagged for fraud. Respond here: http://470.gov-secure.net
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://493.cryptoearnings.biz"
spam,Critical security update required. Click to download patch: http://533.cryptoearnings.biz
ham,"Hey, let's grab coffee after the team sync?"
spam,Your medical test results are in. View securely: http://756.auth-fix.com
ham,Have you seen the updated incident response flow?
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://926.cryptoearnings.biz"
ham,Meeting's moved to Friday — updating the calendar.
ham,Lunch is on me today if you’re free.
spam,Reset your password now or lose access to your account: http://577.claim-today.org
ham,I'll send the logs over after lunch.
spam,Critical security update required. Click to download patch: http://720.claim-today.org
spam,Receipt for your $$3385.02 purchase is attached. Open here: http://954.updatelink.co
ham,Have you seen the updated incident response flow?
spam,Your computer is infected! Call Microsoft Support now: http://738.claim-today.org
spam,Order #887196 cannot be delivered. Reschedule now: http://636.updatelink.co
spam,Earn free Bitcoin now. Only a few spots left: http://204.cryptoearnings.biz
spam,Your medical test results are in. View securely: http://157.claim-today.org
ham,Meeting's moved to Friday — updating the calendar.
ham,Can you help troubleshoot the VPN connection later?
spam,Deposit 0.01 BTC and get 10x back instantly: http://37.updatelink.co
ham,I'll send the logs over after lunch.
ham,I'm uploading the Q1 security audit report now.
spam,New sign-in from unknown device. Confirm identity: http://431.claim-today.org
spam,Reset your password now or lose access to your account: http://495.gov-secure.net
ham,I'm uploading the Q1 security audit report now.
ham,Can you help troubleshoot the VPN connection later?
spam,You're the lucky winner of our sweepstakes. Confirm details: http://570.cryptoearnings.biz
ham,Meeting's moved to Friday — updating the calendar.
spam,Receipt for your $$782.50 purchase is attached. Open here: http://444.cryptoearnings.biz
spam,New sign-in from unknown device. Confirm identity: http://110.updatelink.co
ham,Have you seen the updated incident response flow?
spam,Your mobile plan will expire soon. Renew now: http://27.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
ham,Don't forget the phishing awareness webinar on Thursday.
spam,You're the lucky winner of our sweepstakes. Confirm details: http://880.updatelink.co
ham,I'll send the logs over after lunch.
spam,Your computer is infected! Call Microsoft Support now: http://485.updatelink.co
spam,You're the lucky winner of our sweepstakes. Confirm details: http://745.updatelink.co
ham,Sending the final report to the SOC team now.
spam,Your medical test results are in. View securely: http://883.auth-fix.com
ham,Can you help troubleshoot the VPN connection later?
ham,Lunch is on me today if you’re free.
ham,Sending the final report to the SOC team now.
ham,Sending the final report to the SOC team now.
spam,Invoice #44312 needs payment today. See details: http://919.claim-today.org
ham,Thanks for reviewing the new device policy doc.
ham,Have you seen the updated incident response flow?
ham,Lunch is on me today if you’re free.
ham,I'll send the logs over after lunch.
spam,Suspicious withdrawal of $631.30 detected. Verify immediately: http://552.auth-fix.com
ham,Thanks for reviewing the new device policy doc.
spam,Suspicious SIM change detected. Review your account: http://99.claim-today.org
ham,Meeting's moved to Friday — updating the calendar.
ham,Can you help troubleshoot the VPN connection later?
ham,I'll send the logs over after lunch.
spam,Deposit 0.01 BTC and get 10x back instantly: http://324.cryptoearnings.biz
ham,I'll send the logs over after lunch.
spam,New sign-in from unknown device. Confirm identity: http://815.claim-today.org
ham,"Hey, let's grab coffee after the team sync?"
spam,Your computer is infected! Call Microsoft Support now: http://380.updatelink.co
ham,Thanks for reviewing the new device policy doc.
ham,Sending the final report to the SOC team now.
spam,Your mobile plan will expire soon. Renew now: http://668.gov-secure.net
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://615.updatelink.co"
spam,Suspicious withdrawal of $2515.12 detected. Verify immediately: http://872.updatelink.co
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://74.claim-today.org
spam,You're the lucky winner of our sweepstakes. Confirm details: http://733.auth-fix.com
spam,Order #294408 cannot be delivered. Reschedule now: http://15.updatelink.co
spam,Invoice #44312 needs payment today. See details: http://943.cryptoearnings.biz
spam,"This is the CEO. Urgently wire $4,800 to this vendor: http://941.cryptoearnings.biz"
ham,Meeting's moved to Friday — updating the calendar.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://282.claim-today.org
spam,Critical security update required. Click to download patch: http://555.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
ham,Meeting's moved to Friday — updating the calendar.
spam,Reset your password now or lose access to your account: http://951.auth-fix.com
ham,Meeting's moved to Friday — updating the calendar.
spam,Your medical test results are in. View securely: http://180.updatelink.co
ham,Sending the final report to the SOC team now.
ham,Lunch is on me today if you’re free.
spam,Suspicious withdrawal of $1513.64 detected. Verify immediately: http://612.claim-today.org
ham,I'll send the logs over after lunch.
spam,Your mobile plan will expire soon. Renew now: http://443.cryptoearnings.biz
ham,Have you seen the updated incident response flow?
ham,Meeting's moved to Friday — updating the calendar.
ham,Thanks for reviewing the new device policy doc.
spam,New sign-in from unknown device. Confirm identity: http://161.auth-fix.com
ham,I'm uploading the Q1 security audit report now.
ham,"Hey, let's grab coffee after the team sync?"
ham,Don't forget the phishing awareness webinar on Thursday.
ham,I'll send the logs over after lunch.
ham,Meeting's moved to Friday — updating the calendar.
ham,Lunch is on me today if you’re free.
ham,Thanks for reviewing the new device policy doc.
ham,Can you help troubleshoot the VPN connection later?
ham,Can you help troubleshoot the VPN connection later?
spam,Suspicious SIM change detected. Review your account: http://65.updatelink.co
ham,Have you seen the updated incident response flow?
ham,I'm uploading the Q1 security audit report now.
ham,Have you seen the updated incident response flow?
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://878.updatelink.co
spam,Critical security update required. Click to download patch: http://66.updatelink.co
spam,Receipt for your $$4610.93 purchase is attached. Open here: http://21.auth-fix.com
spam,Deposit 0.01 BTC and get 10x back instantly: http://108.updatelink.co
spam,Suspicious SIM change detected. Review your account: http://348.auth-fix.com
ham,Sending the final report to the SOC team now.
ham,I'll send the logs over after lunch.
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://703.gov-secure.net
ham,Have you seen the updated incident response flow?
ham,Meeting's moved to Friday — updating the calendar.
ham,"Hey, let's grab coffee after the team sync?"
ham,I'm uploading the Q1 security audit report now.
spam,Deposit 0.01 BTC and get 10x back instantly: http://356.auth-fix.com
ham,Meeting's moved to Friday — updating the calendar.
spam,Deposit 0.01 BTC and get 10x back instantly: http://844.auth-fix.com
spam,Insurance claim denied. Appeal by clicking here: http://595.cryptoearnings.biz
spam,Invoice #44312 needs payment today. See details: http://903.cryptoearnings.biz
spam,Suspicious SIM change detected. Review your account: http://408.claim-today.org
ham,Can you help troubleshoot the VPN connection later?
ham,Have you seen the updated incident response flow?
ham,Can you help troubleshoot the VPN connection later?
ham,Thanks for reviewing the new device policy doc.
ham,Sending the final report to the SOC team now.
spam,Earn free Bitcoin now. Only a few spots left: http://581.updatelink.co
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://881.cryptoearnings.biz
ham,I'll send the logs over after lunch.
spam,Earn free Bitcoin now. Only a few spots left: http://71.updatelink.co
ham,Have you seen the updated incident response flow?
spam,Earn free Bitcoin now. Only a few spots left: http://377.auth-fix.com
spam,You're the lucky winner of our sweepstakes. Confirm details: http://713.claim-today.org
spam,Your computer is infected! Call Microsoft Support now: http://932.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
spam,Critical security update required. Click to download patch: http://74.updatelink.co
ham,Thanks for reviewing the new device policy doc.
spam,Your mobile plan will expire soon. Renew now: http://29.auth-fix.com
ham,"Hey, let's grab coffee after the team sync?"
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://109.auth-fix.com
ham,I'll send the logs over after lunch.
spam,Critical security update required. Click to download patch: http://916.cryptoearnings.biz
ham,Meeting's moved to Friday — updating the calendar.
ham,I'll send the logs over after lunch.
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://479.gov-secure.net
spam,Your mobile plan will expire soon. Renew now: http://969.claim-today.org
spam,IRS notice: You owe $3149.00 in back taxes. Pay now to avoid legal action: http://609.auth-fix.com
spam,Deposit 0.01 BTC and get 10x back instantly: http://889.updatelink.co
ham,Lunch is on me today if you’re free.
ham,Can you help troubleshoot the VPN connection later?
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://189.cryptoearnings.biz
spam,Earn free Bitcoin now. Only a few spots left: http://607.claim-today.org
ham,Meeting's moved to Friday — updating the calendar.
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
spam,Suspicious SIM change detected. Review your account: http://627.auth-fix.com
spam,Earn free Bitcoin now. Only a few spots left: http://755.cryptoearnings.biz
ham,Sending the final report to the SOC team now.
ham,Lunch is on me today if you’re free.
ham,I'm uploading the Q1 security audit report now.
ham,Have you seen the updated incident response flow?
spam,New sign-in from unknown device. Confirm identity: http://77.gov-secure.net
spam,Receipt for your $$3665.91 purchase is attached. Open here: http://653.auth-fix.com
ham,Lunch is on me today if you’re free.
ham,Sending the final report to the SOC team now.
spam,Suspicious SIM change detected. Review your account: http://821.auth-fix.com
spam,Your mobile plan will expire soon. Renew now: http://620.updatelink.co
spam,Invoice #44312 needs payment today. See details: http://45.claim-today.org
spam,Your computer is infected! Call Microsoft Support now: http://344.auth-fix.com
spam,Receipt for your $$201.80 purchase is attached. Open here: http://616.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
ham,Sending the final report to the SOC team now.
spam,Receipt for your $$2103.92 purchase is attached. Open here: http://899.updatelink.co
spam,Your computer is infected! Call Microsoft Support now: http://788.gov-secure.net
spam,Receipt for your $$734.71 purchase is attached. Open here: http://65.claim-today.org
ham,I'll send the logs over after lunch.
ham,I'm uploading the Q1 security audit report now.
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Your medical test results are in. View securely: http://625.auth-fix.com
ham,Thanks for reviewing the new device policy doc.
ham,"Hey, let's grab coffee after the team sync?"
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://910.cryptoearnings.biz
spam,Suspicious withdrawal of $4155.77 detected. Verify immediately: http://226.claim-today.org
spam,Critical security update required. Click to download patch: http://300.cryptoearnings.biz
spam,Your mobile plan will expire soon. Renew now: http://496.updatelink.co
spam,You're the lucky winner of our sweepstakes. Confirm details: http://611.cryptoearnings.biz
spam,Your tax return was flagged for fraud. Respond here: http://465.claim-today.org
ham,Meeting's moved to Friday — updating the calendar.
ham,I'm uploading the Q1 security audit report now.
ham,I'm uploading the Q1 security audit report now.
spam,IRS notice: You owe $855.03 in back taxes. Pay now to avoid legal action: http://94.updatelink.co
spam,Order #393533 cannot be delivered. Reschedule now: http://383.cryptoearnings.biz
ham,Sending the final report to the SOC team now.
spam,Suspicious withdrawal of $2176.67 detected. Verify immediately: http://194.claim-today.org
spam,Reset your password now or lose access to your account: http://320.auth-fix.com
spam,New sign-in from unknown device. Confirm identity: http://354.gov-secure.net
ham,"Hey, let's grab coffee after the team sync?"
spam,Receipt for your $$2653.72 purchase is attached. Open here: http://575.gov-secure.net
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://946.cryptoearnings.biz
ham,"Hey, let's grab coffee after the team sync?"
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://901.claim-today.org
ham,Sending the final report to the SOC team now.
spam,Suspicious withdrawal of $3302.52 detected. Verify immediately: http://625.gov-secure.net
ham,I'll send the logs over after lunch.
spam,Deposit 0.01 BTC and get 10x back instantly: http://730.auth-fix.com
ham,Don't forget the phishing awareness webinar on Thursday.
ham,I'll send the logs over after lunch.
ham,Can you help troubleshoot the VPN connection later?
spam,Your medical test results are in. View securely: http://211.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
ham,Don't forget the phishing awareness webinar on Thursday.
spam,Reset your password now or lose access to your account: http://178.cryptoearnings.biz
ham,Thanks for reviewing the new device policy doc.
ham,Lunch is on me today if you’re free.
ham,Have you seen the updated incident response flow?
spam,Critical security update required. Click to download patch: http://664.claim-today.org
ham,Don't forget the phishing awareness webinar on Thursday.
ham,Don't forget the phishing awareness webinar on Thursday.
ham,I'm uploading the Q1 security audit report now.
ham,"Hey, let's grab coffee after the team sync?"
ham,Meeting's moved to Friday — updating the calendar.
spam,Reset your password now or lose access to your account: http://754.gov-secure.net
spam,Deposit 0.01 BTC and get 10x back instantly: http://576.auth-fix.com
spam,Your tax return was flagged for fraud. Respond here: http://601.gov-secure.net
ham,Sending the final report to the SOC team now.
ham,Thanks for reviewing the new device policy doc.
spam,Your medical test results are in. View securely: http://346.gov-secure.net
spam,IRS notice: You owe $4214.58 in back taxes. Pay now to avoid legal action: http://937.cryptoearnings.biz
spam,Insurance claim denied. Appeal by clicking here: http://115.gov-secure.net
spam,Congratulations! You’ve won a $1000 Amazon gift card. Claim here: http://965.gov-secure.net
ham,Have you seen the updated incident response flow?
ham,Meeting's moved to Friday — updating the calendar.
spam,Reset your password now or lose access to your account: http://110.cryptoearnings.biz
spam,Your debit card ending in 4987 has been locked. Reactivate here: http://270.updatelink.co
ham,Thanks for reviewing the new device policy doc.
spam,IRS notice: You owe $2496.57 in back taxes. Pay now to avoid legal action: http://406.updatelink.co
ham,Have you seen the updated incident response flow?
ham,I'm uploading the Q1 security audit report now.
spam,Critical security update required. Click to download patch: http://403.cryptoearnings.biz
ham,I'm uploading the Q1 security audit report now.
ham,I'll send the logs over after lunch.
ham,I'll send the logs over after lunch.
spam,New sign-in from unknown device. Confirm identity: http://100.updatelink.co
spam,New sign-in from unknown device. Confirm identity: http://341.updatelink.co
spam,Reset your password now or lose access to your account: http://191.cryptoearnings.biz
spam,Suspicious SIM change detected. Review your account: http://942.gov-secure.net
ham,Meeting's moved to Friday — updating the calendar.
ham,Have you seen the updated incident response flow?
ham,I'm uploading the Q1 security audit report now.
ham,Meeting's moved to Friday — updating the calendar.
ham,I'm uploading the Q1 security audit report now.
ham,Have you seen the updated incident response flow?
spam,Invoice #44312 needs payment today. See details: http://679.claim-today.org
spam,Your computer is infected! Call Microsoft Support now: http://117.gov-secure.net
ham,Meeting's moved to Friday — updating the calendar.
ham,Meeting's moved to Friday — updating the calendar.
